subject,stage,lzc,emg_rms,eeg_emg_coherence
0,W,0.5890880860545453,1.2531554982646339e-11,0.08419764577065916
0,W,0.5640614680195484,1.021734049036832e-11,0.08387504366763307
0,W,0.4389283778445632,1.8714795241504997e-11,0.05744781773803365
0,W,0.5005323606999406,1.4429940295305136e-11,0.08484682356516372
0,W,0.4620298714153297,1.3157785677855126e-11,0.07978796285892463
0,W,0.56983684141224,1.3429100445126268e-11,0.06087947889807008
0,W,0.5217087298064764,1.8142677270596727e-11,0.07509881663236623
0,W,0.4620298714153297,1.5159476877833687e-11,0.0787627486699924
0,W,0.573687090340701,1.3792276462449245e-11,0.0740270517080889
0,W,0.5294092276633986,1.405886019039023e-11,0.06013917072916615
0,W,0.5717619658764705,1.5250811842141407e-11,0.09198975579906893
0,W,0.5833127126618538,1.4480311465665733e-11,0.08837089202637553
0,W,0.6699433135522281,1.238122799818098e-11,0.08437664656807065
0,W,0.6025639573041591,1.305674260229495e-11,0.06828741727177565
0,W,0.519783605342246,2.422980161909288e-11,0.08019191222241329
0,W,0.5467353478414735,1.6540212435428516e-11,0.07040295923271012
0,W,0.6044890817683897,1.636188205427903e-11,0.07230261629435014
0,W,0.573687090340701,1.2738504239331616e-11,0.07855359123166974
0,W,0.5890880860545453,1.472401554184339e-11,0.06525189443869049
0,W,0.5294092276633986,9.709610744240044e-12,0.06081725330803145
0,W,0.6141147040895424,1.8066965153865534e-11,0.06094396308555624
0,W,0.527484103199168,1.4594240520948443e-11,0.07446378720196418
0,W,0.5775373392691622,1.7525790938439325e-11,0.06137826263856304
0,W,0.548660472305704,1.4113183643356e-11,0.07485671643601417
0,W,0.6083393306968508,2.234582660471469e-11,0.07211870541881946
0,W,0.5294092276633986,1.2227253146681746e-11,0.06710774995783717
0,W,0.5101579830210932,1.567261914427817e-11,0.07273320240746531
0,W,0.5467353478414735,1.6049551006608528e-11,0.04260625219481233
0,W,0.5448102233772429,1.704146962565778e-11,0.06367496056189527
0,W,0.6044890817683897,1.1744821826874295e-11,0.08637579591450208
0,W,0.6314408242676173,1.2178206395911242e-11,0.0855204063230143
0,W,0.6449166955172311,1.5147812410470948e-11,0.06657972716849433
0,W,0.6680181890879975,1.0894457348594478e-11,0.07064140782707018
0,W,0.6218152019464646,1.4224252733584673e-11,0.06809716022639634
0,W,0.6333659487318478,1.2494108072326329e-11,0.06325109958505924
0,W,0.5294092276633986,1.2374897800762328e-11,0.05863088097353515
0,W,0.5351846010560902,1.5406773717184994e-11,0.06877087143847808
0,W,0.598713708375698,1.2242149720817867e-11,0.06949571659741605
0,W,0.6680181890879975,8.055016085517232e-12,0.07579829060179236
0,W,0.591013210518776,1.32569967479973e-11,0.07839562063868566
0,W,0.548660472305704,1.5748087532181337e-11,0.07051808891279396
0,W,0.594863459447237,1.2604072626548277e-11,0.07967286507671367
