dz_alvo,auc_por_sujeito_media,poder_estimado,poder_ic95_low,poder_ic95_high,n_sim
0.0,0.5140083279004942,0.072,0.061472954211237246,0.08416809845480183,2000
0.05,0.5271860567809477,0.11,0.09702744145337006,0.12446791027503004,2000
0.1,0.5372330033884535,0.1665,0.15081569348621734,0.18346302395332484,2000
0.15,0.547501826973197,0.2395,0.22130628927863139,0.25869252899123585,2000
0.2,0.557947821894573,0.3595,0.338757273461469,0.3807814365842751,2000
0.25,0.5688776561817507,0.4665,0.4447208711430659,0.48840757573616855,2000
0.3,0.5793715809799966,0.5515,0.5296250320173105,0.5731775048698368,2000
0.4,0.599203360150155,0.7095,0.6892162628432049,0.7289804648821802,2000
0.5,0.6188438221976869,0.913,0.8998427354074658,0.9245737254545106,2000
0.6,0.6384850049516502,0.966,0.9571213910424056,0.9730918553539164,2000
0.8,0.6781684375730603,0.998,0.9948685655953601,0.9992219852745291,2000
1.0,0.7132923986740013,1.0,0.9980828823994873,1.0,2000
